Agency,location,bedrooms,bathrooms,price
Habitat Realtors International Ltd,"Thindigua, Tsavo Apartments, Kiambu Road, Kiambu Road",2,1,30000
Symonns Realty,"Phase 2, Thika East, Thika East",2,2,30000
Ric Realtors,"Karen, Karen, Langata",1,1,30000
Kaisa Ventures Kenya Limited,"Kileleshwa, Dagoretti North",1,1,30000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",2,2,30000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",2,2,30000
Crowne Estates,"3rd, 3rd avenue, Parklands, Westlands",1,1,30000
Benford Homes,"mtwapa, Mtwapa, Kilifi South",2,2,30000
Yellow Market,"NA, Racecourse, Ngong Road, Ngong Road",1,1,30000
Almond Estate,"New Kitusuru, Westlands",2,2,30000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",1,1,30000
Fitsher Homes Ltd,"Syokimau, Athi River",3,2,30000
Eden Height Realty,"Thigiri, Westlands",2,2,175000
Washington Homes Kenya,"Riverside Drive, Riverside, Westlands",3,3,145000
Fitsher Homes Ltd,"Mombasa Road, Mombasa Road",2,2,30000
Home Care Estates Ltd,"Maziwa rd, Imara Daima, Embakasi",2,2,30000
Trisums Investments Company Limited,"Mwimuto, Kiambu Town, Kiambu Town",2,2,30000
Homekenya24,"Ruaka, Kiambaa",2,2,32000
Shingles Kenya Limited,"Ngong Rd, Ngong Road, Ngong Road",1,1,32000
Swiveltrend Ltd,"Limuru Road, Ruaka, Kiambaa",2,2,32500
Habitat Realtors International Ltd,"Five Star Gardens, 5 Star Gardens Off Airport View Road, Syokimau, Athi River",3,2,33000
Home Care Estates Ltd,"Near Watakatifu Centre, Kahara Road, Ngong, Kajiado North",3,2,33000
Springtide Properties Limited,"Kisumu Road, Eldoret North, Eldoret North",3,3,33500
Swiveltrend Ltd,"Ruaka, Kiambaa",1,1,35000
Edlon Group Limited,"Kiamumbi, Windsor, Kiambu Constituency",2,2,35000
Realty Plus,"Nairobi West, Langata",1,1,35000
Range Wide Properties,"Kileleshwa, Dagoretti North",1,1,35000
