Agency,location,bedrooms,bathrooms,price
Green Knight Properties,"Mbaazi, Lavington, Dagoretti North",1,1,65000
Pam Golding Properties,"Upper Hill, Langata",2,2,65000
Crystal Valuers Ltd,"wambugu road, 1st parkland, Parklands, Westlands",2,2,65000
Kenya Classic Homes,"Kileleshwa, Dagoretti North",2,2,65000
Kenya Classic Homes,"Kilimani, Dagoretti North",1,1,65000
Prudential Green Ville,"westlands, Westlands, Riverside, Westlands",3,2,65000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,65000
Prudential Green Ville,"kileleshwa, kileleshwa, Kileleshwa, Dagoretti North",3,2,65000
Range Wide Properties,"Waiyaki Way, Westlands",3,3,65000
City Homes Kenya Real Estate,"Mombasa Road Next To Eka Hotel, Mombasa Road, Mombasa Road",1,1,65000
Jazari Homes,"Vanga road, Valley arcade, Lavington, Dagoretti North",2,2,65000
Buy Rent Shelters,"Loresho, Westlands Area, Westlands",2,2,65000
Prince Classic Homes,"Lavington, Dagoretti North",2,2,65000
Prince Classic Homes,"Kindaruma road, Kilimani, Dagoretti North",2,2,65000
Hilltrust Consult,"Brookside Drive, Brookside, Westlands",2,2,65000
Naftal Properties,"Kilimani, Dagoretti North",2,2,65000
Splendour Real Estate,"Valley Arcade, Dagoretti North",2,2,65000
Paradigm Homes,"Kileleshwa, Dagoretti North",2,2,65000
Lavingtonmanagement,"Argwings Kodhek, Kilimani, Dagoretti North",2,2,65000
Yellow Market,"Near Yaya Center, Kilimani, Dagoretti North",1,1,65000
Hanspace Limited,"Kileleshwa, Dagoretti North",2,2,65000
Vsb Properties Limited,"Kileleshwa, Dagoretti North",3,2,65000
Nguso Realtors,"Kileleshwa, Dagoretti North",2,2,65000
Ace Realtors Limited,"21 05 07, 20 RA, Lavington, Dagoretti North",3,3,65000
Coralinternational Ltd,"Mogotio Road, Westlands Area, Westlands",3,3,65000
Opus Properties,"Ngong Road, Ngong Road",3,2,65000
Green Knight Properties,"George Padmore lane, Kilimani, Dagoretti North",1,1,65000
Citiscape Valuers And Estate Agents Ltd,"Kileleshwa, Dagoretti North",2,2,65000
Prudential Green Ville,"lavington, Lavington, Dagoretti North",1,1,65000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",2,2,65000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,2,65000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,65000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,65000
Range Wide Properties,"Rhapta Road, Westlands",3,2,65000
Buy Rent Shelters,"Loresho, Westlands Area, Westlands",2,2,65000
Lavingtonmanagement,"Valley Arcade, Lavington, Dagoretti North",2,2,65000
Yellow Market,"Lavington, Valley Arcade, Dagoretti North",2,2,65000
Fuzone Pride Investment,"Kileleshwa, Dagoretti North",2,2,65000
Pmc Estates Limited,"Statehouse Cresent, Off Statehouse Road, State House, Dagoretti North",3,1,65000
Pmc Estates Limited,"Thindigua, Thindigua",3,3,65000
Naftal Properties,"Kileleshwa, Dagoretti North",2,1,65000
Gemac Properties,"Loresho, Loresho, Westlands",2,2,65000
Cfs Homes,"Kileleshwa, Dagoretti North",2,2,65000
Rescom Ventures Ltd,"Nairobi West, Langata",1,1,65000
Splendor Holdings,"Kilimani, Dagoretti North",2,1,65000
Phillavilla,"Kileleshwa, Dagoretti North",3,2,65000
Spark Properties,"Lavington, Lavington, Lavington, Dagoretti North",3,2,65000
Apogee Realty Homes,"500Meters From Delta Petrol Station, Kiambu Road, Kiambu Road",3,1,66000
Symonns Realty,"Ngong Racecourse, Ngong Road, Ngong Road",3,2,66000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",3,3,67000
Phillavilla,"Kileleshwa, Dagoretti North",2,2,67000
Coralinternational Ltd,"Off Brookside Drive, Soorae Flats, Brookside, Westlands",2,2,67500
Prudential Green Ville,"lavington, Lavington, Lavington, Dagoretti North",3,2,67500
Phillavilla,"Kileleshwa, Dagoretti North",3,2,68000
Lavingtonmanagement,"Gathanju, Lavington, Dagoretti North",2,2,68000
Prince Classic Homes,"Masari road, Parklands, Westlands",2,2,69997
Opus Properties,"Kikambala Road, Kileleshwa, Dagoretti North",2,2,70000
Prime Lands,"Gatundu Close, Kileleshwa, Dagoretti North",2,1,70000
Real Management Services 2002Limited,"Kilimani, Dagoretti North",2,1,70000
Realty Plus,"Kilimani, Dagoretti North",3,3,70000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,2,70000
Royani Properties Limited,"Fourways Junction Estate, Kiambu Road, Kiambu Road",3,2,70000
Royani Properties Limited,"Mocah Courtyard, Kiambu Road, Kiambu Road",3,3,70000
Royani Properties Limited,"FOURWAYS, Kiambu Road, Kiambu Road",3,2,70000
Royani Properties Limited,"Fourways junction, Kiambu Road, Kiambu Road",3,2,70000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",3,2,70000
Prudential Green Ville,"kileleshwa, kileleshwa, Kileleshwa, Dagoretti North",3,2,70000
Geoscape Global Limited,"Kilimani, Dagoretti North",3,2,70000
Sunland Real Estates Limited,"Wood Avenue, Wood Avenue, Kilimani, Dagoretti North",3,2,70000
Wealthlink Realtors Ltd,"Kahawa West, Roysambu",3,2,70000
Cloud Real Estate,"Waiyaki Way, Westlands",3,3,70000
Olympia Gold Real Estate,"Lavington, Dagoretti North",2,2,70000
Nickville Shelters,"Valley Arcade, Dagoretti North",2,1,70000
Pmc Estates Limited,"Usiu Road, Thika Road, Thika Road",3,2,70000
Rescom Ventures Ltd,"Kileleshwa, Dagoretti North",2,2,70000
Naftal Properties,"Kilimani, Dagoretti North",2,2,70000
Medallion Systems,"Kilimani, Dagoretti North",2,1,70000
Canaan Properties,"Milimani, Milimani",2,2,70000
Phillavilla,"Mountain View, Westlands",3,2,70000
Chawan Business Venture,"Kiambu Road, Kiambu Road",3,2,70000
Ace Realtors Limited,"21 05 07, 18 RA, Rhapta Road, Westlands",2,2,70000
David Kiambi,"Muringa groove, Muringa road, Kilimani, Dagoretti North",3,2,70000
Tuvilani Ventures Enterprice,"Kizingo, Kizingo, kizingo, Mvita",4,3,70000
Azizi Realtors,"Westlands Area, Westlands",2,2,70000
Real Management Services 2002Limited,"Riara Road, Kilimani, Dagoretti North",3,1,70000
Real Management Services 2002Limited,"riara road, Kilimani, Dagoretti North",3,2,70000
Franic Villa Properties,"Near USIU, Safari park, Zimmermann, Roysambu",4,4,70000
City Homes Kenya Real Estate,"Acacia Drive, Runda, Westlands",2,1,70000
Homekenya24,"Ruaka, Kiambaa",3,2,70000
Blueline Properties 1023,"Sibiloi , Ojijo, Parklands, Westlands",2,2,70000
Absolute Estate Agents,"Lavington, Dagoretti North",3,2,70000
Sir Francis Marketingconsultants Ltd,"Valley Arcade, Lavington, Dagoretti North",3,2,70000
Origin Homes,"Kilimani, Dagoretti North",2,2,70000
Royani Properties Limited,"Laikipia road, Kileleshwa, Dagoretti North",2,2,70000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",2,2,70000
Hilltrust Consult,"Off Rapta Rd, Westlands Area, Westlands",3,3,70000
Kaisa Ventures Kenya Limited,"Kileleshwa, Dagoretti North",2,1,70000
Urban Hut,"Kileleshwa, Dagoretti North",2,2,70000
Afrique Properties Limited,"Kileleshwa, Dagoretti North",3,2,70000
Pc Properties Real Estate Agency,"Riara Rd, Lavington, Dagoretti North",3,3,70000
Lighthouse Homes Limited,"Rhapta Road, Westlands Area, Westlands",2,2,70000
Pmm Properties,"Rhapta Road, Rhapta Road, Westlands",3,2,70000
Splendor Holdings,"Lavington, Dagoretti North",3,3,70000
Splendor Holdings,"Kileleshwa, Dagoretti North",2,2,70000
Splendor Holdings,"Kilimani, Dagoretti North",1,1,70000
Opus Properties,"Mimosa, Ngong Road, Ngong Road",3,2,70000
Ace Realtors Limited,"21 04 30, 43 RA, Waiyaki Way, Westlands",3,3,70000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",2,2,70000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",3,2,70000
Real Management Services 2002Limited,"East Church Road, Parklands, Westlands",3,2,70000
Pam Golding Properties,"Lavington, Dagoretti North",2,1,70000
Crystal Valuers Ltd,"Ngong Road, Ngong Road",3,2,70000
Crowne Estates,"Wambugu rd, Parklands, Westlands",3,2,70000
Yc Real Estate Limited,"Near Kenya High, Kileleshwa, Dagoretti North",2,2,70000
Absolute Estate Agents,"Denis pritt,Kilimani, Kilimani, Dagoretti North",2,2,70000
Absolute Estate Agents,"Lavington, Dagoretti North",1,1,70000
Royani Properties Limited,"Kandara Road, Kileleshwa, Dagoretti North",3,3,70000
Yellow Market,"Near Valley Arcade Shopping Centre, Valley Arcade, Dagoretti North",3,2,70000
Fitsher Homes Ltd,"Kiambu Road, Kiambu Road",4,4,70000
Fitsher Homes Ltd,"Kiambu Road, Kiambu Road",4,4,70000
Cfs Homes,"Westlands Area, Westlands",2,2,70000
Naftal Properties,"Madaraka, Langata",4,3,70000
Splendor Holdings,"Kilimani, Dagoretti North",3,1,70000
Splendor Holdings,"Kilimani, Dagoretti North",2,1,70000
Royani Properties Limited,"Mocah Courtyard, Kiambu Road, Kiambu Road",3,3,72000
Tysons Limited,"Kileleshwa, Dagoretti North",2,2,72500
Ogaye Enterprises,"Shanzu, Shanzu, Kisauni",3,3,73000
Coralinternational Ltd,"Rhapta Road, Westlands Area, Westlands",2,2,75000
Ace Realtors Limited,"21 04 20, 21 RA, Westlands Area, Westlands",2,2,75000
Regent Management Ltd,"Kilimani, Dagoretti North",3,2,75000
Regent Management Ltd,"Dennis Pritt, Dagoretti North",3,2,75000
Pam Golding Properties,"Kilimani, Dagoretti North",3,3,75000
Prudential Green Ville,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",2,2,75000
Prudential Green Ville,"lavington, Lavington, Lavington, Dagoretti North",2,2,75000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",3,2,75000
Blueline Properties 1023,"9 Riverside Drive, Riverside, Westlands",2,2,75000
Origin Homes,"Lavington, Dagoretti North",3,3,75000
Origin Homes,"Kilimani, Dagoretti North",3,3,75000
Origin Homes,"Lavington, Dagoretti North",2,2,75000
Buy Rent Shelters,"Loresho, Westlands Area, Westlands",3,3,75000
Orion Valuers,"Kilimani, Dagoretti North",2,2,75000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",3,3,75000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",2,2,75000
Westside Real Estate,"1, Argwings Kodhek, Kilimani, Dagoretti North",1,1,75000
Naftal Properties,"Lavington, Dagoretti North",2,2,75000
Rayalink Properties,"kingara road, Lavington, Dagoretti North",4,3,75000
Absolute Estate Agents,"Ring Road Kilimani, Kilimani, Dagoretti North",2,2,75000
Absolute Estate Agents,"Riara Road, Dagoretti North",3,2,75000
Paradigm Homes,"Riara Road, Dagoretti North",3,2,75000
Paradigm Homes,"Gitanga Road, Lavington, Dagoretti North",3,2,75000
Royani Properties Limited,"Fourways Junction Estate, Kiambu Road, Kiambu Road",4,3,75000
Yellow Market,"Near Junctiona Mall, Kilimani, Dagoretti North",2,2,75000
Pmc Estates Limited,"Waiyaki Way, Westlands",3,3,75000
Knight Frank,"Miotoni West Road, Karen, Langata",1,1,75000
Casapiu Holdings Limited,"Rhapta Road, Westlands",3,3,75000
Cfs Homes,"Kilimani, Dagoretti North",3,2,75000
Pc Properties Real Estate Agency,"Ngong Rd, Kilimani, Dagoretti North",3,3,75000
Landmark Realtors Ltd,"Lavington, Dagoretti North",3,2,75000
Kenya Classic Homes,"Lavington, Dagoretti North",3,3,75000
Kenya Classic Homes,"Lavington, Dagoretti North",3,3,75000
Kenya Classic Homes,"Kilimani, Dagoretti North",2,2,75000
Azizi Realtors,"Westlands Area, Westlands",2,2,75000
Habitat Realtors International Ltd,"Waiyaki Way- Waruku, Waruku, Waiyaki Way, Westlands",3,3,75000
Habitat Realtors International Ltd,"Parklane Place, Kandara Road, Kileleshwa, Dagoretti North",3,2,75000
Prudential Green Ville,"riverside, Riverside, Riverside, Westlands",3,2,75000
Prudential Green Ville,"lavington, Lavington, Lavington, Dagoretti North",3,2,75000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,75000
Prudential Green Ville,"riverside, riverside, Riverside, Westlands",3,2,75000
Prudential Green Ville,"lavington, lavington, Lavington, Dagoretti North",3,3,75000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,75000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",3,2,75000
Paradigm Homes,"Argwings Kodhek Road, Kilimani, Dagoretti North",3,2,75000
Blueline Properties 1023,"Ojijo, Parklands, Westlands",2,1,75000
Blueline Properties 1023,"9 Riverside Drive, Riverside, Westlands",2,2,75000
Royani Properties Limited,"Riara Downs Apartments, Riara Road, Dagoretti North",4,3,75000
Ever Forgarden ,"Denis Pritt, Kilimani, Dagoretti North",3,3,75000
Apogee Realty Homes,"Hatheru Road, Lavington, Dagoretti North",3,2,75000
Cfs Homes,"Kilimani, Dagoretti North",3,2,75000
Cfs Homes,"Kitengela, Kajiado North",2,2,75000
Cfs Homes,"Yaya Center, Kilimani, Dagoretti North",2,2,75000
Pc Properties Real Estate Agency,"Riara Rd, Lavington, Dagoretti North",2,2,75000
Coralinternational Ltd,"Mvuli Road, Westlands Area, Westlands",2,1,75000
Green Knight Properties,"Mandera road, Kileleshwa, Dagoretti North",2,2,75000
Green Knight Properties,"Lavington, Dagoretti North",2,2,75000
Eastwood Consulting Ltd,"Mogotio Road, Westlands Area, Westlands",2,2,75000
Prime Lands,"Kilimani, Dagoretti North",2,2,75000
Prudential Green Ville,"lavington, Lavington, Lavington, Dagoretti North",3,3,75000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,2,75000
Prudential Green Ville,"lavington, Lavington, Lavington, Dagoretti North",3,3,75000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",4,4,75000
Capstone Properties,"Riverside, Westlands",2,2,75000
Eden Height Realty,"Kileleshwa, Dagoretti North",3,3,75000
Real Management Services 2002Limited,"1, Killimani, Kilimani, Dagoretti North",2,2,75000
Pam Golding Properties,"Kilimani, Dagoretti North",2,1,75000
Pam Golding Properties,"Kilimani, Dagoretti North",3,3,75000
Azizi Realtors,"Kilimani, Dagoretti North",2,1,75000
Absolute Estate Agents,"Kileleshwa, Dagoretti North",2,2,75000
Absolute Estate Agents,"Riara Road, Dagoretti North",3,2,75000
Jazari Homes,"Argwing kodhek road, Lavington, Lavington, Dagoretti North",3,2,75000
Paradigm Homes,"Riara Road, Kilimani, Dagoretti North",3,3,75000
Paradigm Homes,"Kilimani, Dagoretti North",2,2,75000
Royani Properties Limited,"Fourways Junction Estate, Kiambu Road, Kiambu Road",4,3,75000
Lavingtonmanagement,"Kabaseriani, Lavington, Dagoretti North",3,3,75000
Buy Rent Shelters,"Chelezo House Kindaruma Rd, Kilimani, Dagoretti North",2,2,75000
Yellow Market,"Off Gitanga Road, Valley Arcade, Dagoretti North",3,2,75000
Shingles Kenya Limited,"Naivasha, Naivasha Road, Dagoretti North",3,2,75000
Splendour Real Estate,"Lavington, Dagoretti North",2,2,75000
Cfs Homes,"Kilimani, Dagoretti North",3,1,75000
Cfs Homes,"Westlands Area, Westlands",3,3,75000
Cfs Homes,"Kileleshwa, Dagoretti North",3,1,75000
Naftal Properties,"Riverside, Westlands",1,1,75000
Naftal Properties,"Lavington, Dagoretti North",2,2,75000
Naftal Properties,"Rhapta Road, Westlands",4,2,75000
Afrique Properties Limited,"Kingara Road, Lavington, Dagoretti North",3,3,75000
Afrique Properties Limited,"Gitanga Road, Lavington, Dagoretti North",3,2,75000
Splendor Holdings,"Lavington, Dagoretti North",3,2,75000
Greenday Properties,"Parklands, Westlands",2,2,75000
Pmm Properties,"Off Rhapta Road, Rhapta Road, Westlands",3,2,75000
J M Mccarthy Properties Ltd,"Lavington, Dagoretti North",2,2,75000
Landmark Top Solutions,"Lavington, Dagoretti North",3,3,76000
Ace Realtors Limited,"21 05 05, 41 RA, Westlands Area, Westlands",3,3,77000
Franic Villa Properties,"Ole Dume, Ole Dume, Kilimani, Dagoretti North",3,3,77000
Absolute Estate Agents,"Lenana rd,Kilimani, Kilimani, Dagoretti North",2,2,78000
Absolute Estate Agents,"Kilimani, Dagoretti North",2,2,78000
Pam Golding Properties,"Kilimani, Dagoretti North",3,2,78000
Pam Golding Properties,"Kileleshwa, Dagoretti North",3,2,79000
Crystal Valuers Ltd,"Riara Road, Dagoretti North",3,3,80000
Green Knight Properties,"Mbaazi, Mbaazi, Lavington, Dagoretti North",2,2,80000
Green Knight Properties,"Lenana, Kilimani, Dagoretti North",2,2,80000
Hassconsult,"Rhapta Road, Westlands",3,2,80000
Stop Properties Real Estate,"Rhapta Road, Westlands",3,3,80000
Edlon Group Limited,"Riara Road, Lavington, Dagoretti North",3,3,80000
Habitat Realtors International Ltd,"Parklane Place, Kandara Rod, Kileleshwa, Dagoretti North",4,3,80000
Realty Plus,"Kilimani, Dagoretti North",3,2,80000
Prudential Green Ville,"lavington, lavington, Lavington, Dagoretti North",3,2,80000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,3,80000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",4,4,80000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,80000
Prudential Green Ville,"lavigton, lavington, Lavington, Dagoretti North",3,2,80000
Capstone Properties,"Rhapta Road, Westlands",3,3,80000
City Homes Kenya Real Estate,"Rhapta road, Rhapta Road, Westlands",3,3,80000
Origin Homes,"Muringa Road, Kilimani, Dagoretti North",1,1,80000
Jazari Homes,"Oloitoktok road, Kikambala Road, Kileleshwa, Dagoretti North",1,1,80000
Buy Rent Shelters,"Loresho Apartment, Westlands Area, Westlands",3,3,80000
Buy Rent Shelters,"Westlands Area, Westlands",3,3,80000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",3,2,80000
Hilltrust Consult,"Riverside Drive, Riverside, Westlands",3,1,80000
Hilltrust Consult,"Off Rapta Rd, Westlands Area, Westlands",2,1,80000
Cloud Real Estate,"Nyari, Westlands",1,1,80000
Rescom Ventures Ltd,"Old Muthaiga, Muthaiga",2,2,80000
Naftal Properties,"Kilimani, Dagoretti North",2,2,80000
Naftal Properties,"Kileleshwa, Dagoretti North",1,1,80000
Cfs Homes,"Kilimani, Dagoretti North",3,2,80000
Property Point,"Kandara road, Kileleshwa, Dagoretti North",3,3,80000
Benford Homes,"shanzu, shanzu, Mombasa CBD, Mombasa CBD",3,3,80000
Phillavilla,"Kileleshwa, Dagoretti North",3,3,80000
Phillavilla,"Kileleshwa, Dagoretti North",3,3,80000
Coralinternational Ltd,"Rhapta Road, Westlands",2,2,80000
Canaan Properties,"Kileleshwa, Dagoretti North",2,2,80000
Green Knight Properties,"Riara, Lavington, Dagoretti North",2,2,80000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",2,2,80000
Realty Plus,"Upper Hill, Langata",3,3,80000
Rayalink Properties,"Karen, Karen, Langata",3,2,80000
Absolute Estate Agents,"1, Ngong Road, Lavington, Dagoretti North",2,2,80000
Absolute Estate Agents,"1, Elgeyo Road , Kilimani, Dagoretti North",3,3,80000
Absolute Estate Agents,"kileleshwa, Kileleshwa, Dagoretti North",3,3,80000
Vaal Real Estate,"Mandera Road, Kileleshwa, Dagoretti North",2,2,80000
Right Fit Properties,"hatheru road, Lavington, Dagoretti North",3,2,80000
Capstone Properties,"Riverside, Westlands",2,2,80000
Royani Properties Limited,"Morningside Apartment Next To Usiu, Ruaraka, Ruaraka",4,1,80000
Origin Homes,"Muringa road, Kilimani, Dagoretti North",1,1,80000
Origin Homes,"Kilimani, Dagoretti North",1,1,80000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",2,2,80000
Buy Rent Shelters,"Sunny Side Apartment, Loresho, Westlands",3,3,80000
Buy Rent Shelters,"Ruaka, Ruaka, Kiambaa",3,3,80000
Splendour Real Estate,"Riverside, Westlands",3,3,80000
Naftal Properties,"Kileleshwa, Dagoretti North",2,1,80000
Naftal Properties,"Lavington, Dagoretti North",2,2,80000
Westside Real Estate,"Dennis Pritt road, Dennis Pritt Road, Kilimani, Dagoretti North",2,2,80000
Ws Properties Limited,"Kingara Road, Lavington, Dagoretti North",3,3,80000
Cheska Agencies,"Westlands Area, Westlands",3,2,80000
Apogee Realty Homes,"Ruaka, Kiambaa",4,3,80000
Royani Properties Limited,"Lavington, Dagoretti North",3,2,80000
Swiveltrend Ltd,"Kirichwa Road, Kilimani, Dagoretti North",3,2,80000
Green Knight Properties,"1, Kilimani, Kilimani, Dagoretti North",2,2,80000
Green Knight Properties,"Lenana road, Kilimani, Dagoretti North",2,2,80000
Prudential Green Ville,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",2,2,80000
Prudential Green Ville,"lavington, Lavington, Lavington, Dagoretti North",3,2,80000
Prudential Green Ville,"lavington, Lavington, Lavington, Dagoretti North",3,2,80000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,80000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,80000
Sunland Real Estates Limited,"KILIMANI, WOOD AVENUE, Kilimani, Dagoretti North",2,2,80000
City Homes Kenya Real Estate,"rhapta road, Rhapta Road, Westlands",3,3,80000
Laserservices Ltd,"kilimani, kilimani, Kilimani, Dagoretti North",2,2,80000
Origin Homes,"Kilimani, Dagoretti North",3,2,80000
Absolute Estate Agents,"Lenana Road, Kilimani, Dagoretti North",3,2,80000
Cloud Real Estate,"Ngong Road, Ngong Road",2,1,80000
Fuzone Pride Investment,"Kilimani, Dagoretti North",3,2,80000
Naftal Properties,"Lavington, Dagoretti North",3,3,80000
Bliss And Loom,"Lenana Road, Kilimani, Dagoretti North",2,2,80000
Rejima Homes Ltd,"Kilimani, Dagoretti North",4,3,80000
Casapiu Holdings Limited,"Rhapta Road, Westlands",2,2,80000
Splendor Holdings,"Lavington, Dagoretti North",2,2,80000
Splendor Holdings,"Kilimani, Dagoretti North",2,2,80000
Phillavilla,"Rhapta Road, Westlands",3,2,80000
Lamplighters Agency,"Kilimani, Dagoretti North",3,3,80000
Franic Villa Properties,"Muringa road, Muringa road, Kilimani, Dagoretti North",3,3,80000
Prince Classic Homes,"mandera rd, Kileleshwa, Dagoretti North",3,2,83000
Coralinternational Ltd,"Rhapta Road, Rhapta Road, Westlands",2,2,85000
Tysons Limited,"Lavington, Dagoretti North",3,2,85000
Pam Golding Properties,"Kilimani, Dagoretti North",2,2,85000
Pam Golding Properties,"Kileleshwa, Dagoretti North",1,1,85000
Edlon Group Limited,"Kilimani, Dagoretti North",3,3,85000
Citiscape Valuers And Estate Agents Ltd,"Kilimani, Dagoretti North",1,1,85000
Green Knight Properties,"Muthangari drive, Muthangari Drive, Waiyaki Way, Westlands",2,2,85000
Franic Villa Properties,"Kilimani, Riara road, Riara Road, Dagoretti North",3,3,85000
Absolute Estate Agents,"Kileleshwa, Kileleshwa, Dagoretti North",3,2,85000
Blueline Properties 1023,"Westlands Area, Westlands",2,1,85000
Yellow Market,"NA, Walk to Yaya, Kilimani, Dagoretti North",2,2,85000
Yellow Market,"walk to junction mall, Riara road, Lavington, Dagoretti North",2,2,85000
Dmus Realtors,"Laikipia road, Kileleshwa, Dagoretti North",2,2,85000
Fuzone Pride Investment,"Kilimani, Dagoretti North",3,2,85000
Prudential Green Ville,"lavington, Lavington, Lavington, Dagoretti North",2,2,85000
Prudential Green Ville,"lavington, Lavington, Lavington, Dagoretti North",3,2,85000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",4,4,85000
Westside Real Estate,"Kilimani, Dagoretti North",3,3,85000
Casapiu Holdings Limited,"Kilimani, Dagoretti North",3,3,85000
A List Real Estate,"Ngong Rd, Kilimani, Dagoretti North",2,2,85000
Coralinternational Ltd,"Riverside, Westlands",2,2,85000
Opus Properties,"Lenana Road, Kilimani, Dagoretti North",2,2,85000
Kenya Classic Homes,"Lavington, Dagoretti North",3,2,85000
Citiscape Valuers And Estate Agents Ltd,"Kilimani, Dagoretti North",3,3,85000
Hassconsult,"Mtama Lane, Parklands, Westlands",3,1,85000
Abec Real Estate,"Dennis Pritt Road, Kilimani, Dagoretti North",3,3,85000
Prudential Green Ville,"kilimani, Kilimani, Kilimani, Dagoretti North",3,2,85000
Prudential Green Ville,"kilimani, kilimani, Kilimani, Dagoretti North",3,3,85000
Realty Plus,"Brookside, Westlands",2,2,85000
Rayalink Properties,"dennis pritt road, Kilimani, Dagoretti North",3,2,85000
Masterways Properties Ltd,"Brookside Close, Brookside, Westlands",3,2,85000
Masterways Properties Ltd,"Riverside Drive, Riverside, Westlands",2,2,85000
Shingles Kenya Limited,"Riara Rd, Riara Road, Dagoretti North",4,4,85000
Wealthlink Realtors Ltd,"Westlands Area, Westlands",3,3,85000
Landmark Top Solutions,"Kilimani, Dagoretti North",3,2,85000
Westside Real Estate,"Turbo, Turbo Road, Kilimani, Dagoretti North",3,3,85000
Ever Forgarden ,"Denis Pritt, Kilimani, Dagoretti North",3,1,85000
Axis Assets Limited,"Tinderet Ave. Off Gatundu Rd, Kileleshwa, Dagoretti North",3,2,85000
Cfs Homes,"Kileleshwa, Dagoretti North",1,1,85000
Phillavilla,"Brookside, Westlands",3,3,85000
Unique Listings Limited,"Oledume, Kilimani, Dagoretti North",3,3,85000
Ace Realtors Limited,"21 05 07, 21 RA, Rhapta Road, Westlands",3,3,85000
Coralinternational Ltd,"Muthaiga Area, Muthaiga",3,3,85000
Canaan Properties,"Kilimani, Dagoretti North",3,3,85000
Mambo Properties Enterprise,"Hatheru Rd, Lavington, Dagoretti North",3,3,85000
Prudential Green Ville,"kileleshwa, Kileleshwa, Kileleshwa, Dagoretti North",2,2,85000
City Homes Kenya Real Estate,"mvuli road, Rhapta Road, Westlands",3,2,85000
Blueline Properties 1023,"Crimson Court Along Riverside Drive, Riverside, Westlands",1,1,85000
Origin Homes,"Kilimani, Dagoretti North",2,2,85000
Origin Homes,"Lavington, Dagoretti North",2,2,85000
Sky Limits Ventures,"Kilimani, Dagoretti North",2,2,85000
Pam Golding Properties,"Oloitoktok Road, Kileleshwa, Dagoretti North",2,2,85000
Crystal Valuers Ltd,"Morningside Park Apartments, Thika Road, Thika Road",4,4,85000
Simkar Group Limited,"East Church Road, Westlands Area, Westlands",1,1,85000
Absolute Estate Agents,"denis pritt rd, Kilimani, Dagoretti North",3,2,85000
Absolute Estate Agents,"1, Kilimani, Dagoretti North",3,2,85000
Paradigm Homes,"Masanduku Lane, Lavington, Dagoretti North",3,2,85000
Yellow Market,"Near Yaya Center, Kilimani, Dagoretti North",2,2,85000
Yellow Market,"off Church road, Rhapta Road, Westlands",2,2,85000
Westside Real Estate,"Lenana Rd, Kilimani, Dagoretti North",3,3,85000
Naftal Properties,"Kilimani, Dagoretti North",3,3,85000
Apogee Realty Homes,"Fourways Junction Estate, Kiambu Road, Kiambu Road",2,2,85000
Liko Limited,"King'ara Road, Kilimani, Dagoretti North",2,2,85000
Unique Casles Management Ltd,"nyeri road, Nyeri road, Kileleshwa, Dagoretti North",3,3,85000
Trisums Investments Company Limited,"Rhapta Road, Westlands",3,3,85000
Antel Limited,"Kileleshwa, Dagoretti North",3,2,86000
Hanspace Limited,"Kileleshwa, Dagoretti North",3,3,86000
Halifax Estate Agency,"Parklands, Westlands",3,3,87000
Pam Golding Properties,"Westlands Area, Westlands",2,2,87000
