,location,bedrooms,bathrooms,price
301,499,2,1,55000
302,214,2,1,55000
303,526,2,1,55000
304,574,3,3,55000
305,514,3,2,56000
306,515,3,3,56000
307,512,4,2,57750
308,193,2,2,58000
309,93,3,2,58500
310,438,2,2,59000
311,271,3,3,60000
312,348,3,2,60000
313,218,1,1,60000
314,154,1,1,60000
315,176,3,2,60000
316,253,2,2,60000
317,15,2,1,60000
318,214,2,2,60000
319,447,2,2,60000
320,454,2,1,60000
321,201,3,2,60000
322,568,2,2,60000
323,571,2,2,60000
324,580,2,2,60000
325,284,1,1,60000
326,270,2,2,60000
327,218,2,2,60000
328,214,2,1,60000
329,271,3,2,60000
330,540,2,2,60000
331,214,2,1,60000
332,515,3,2,60000
333,179,3,3,60000
334,31,2,2,60000
335,7,3,2,60000
336,96,3,2,60000
337,214,2,2,60000
338,253,3,2,60000
339,214,3,2,60000
340,436,3,2,60000
341,195,2,2,60000
342,534,3,3,60000
343,214,3,2,60000
344,208,4,4,60000
345,195,2,1,60000
347,471,3,1,60000
348,364,3,2,60000
349,436,1,1,60000
350,368,2,2,60000
351,271,2,2,60000
352,214,2,2,60000
353,214,2,2,60000
354,218,2,2,60000
356,125,3,2,60000
357,384,1,1,60000
358,270,2,2,60500
359,368,3,2,62000
360,379,2,2,62500
361,218,1,1,65000
362,139,2,2,65000
363,86,2,1,65000
364,531,2,2,65000
365,571,2,2,65000
366,580,3,2,65000
367,534,2,2,65000
368,271,3,3,65000
369,218,2,1,65000
370,214,2,2,65000
371,218,2,1,65000
372,101,2,1,65000
373,218,2,2,65000
374,173,2,2,65000
375,214,1,1,65000
376,436,3,2,65000
377,534,3,2,65000
378,35,2,1,65000
379,576,3,1,65000
380,300,1,1,65000
381,298,1,1,65000
382,526,2,2,65000
383,605,2,2,65000
384,214,2,2,65000
386,608,3,2,65000
388,568,3,2,65000
389,534,3,3,65000
390,314,1,1,65000
391,533,2,2,65000
392,272,2,2,65000
393,253,2,2,65000
394,225,2,2,65000
395,77,2,2,65000
397,530,2,2,65000
398,214,2,2,65000
399,61,2,2,65000
400,360,1,1,65000
401,214,2,2,65000
402,214,3,2,65000
403,214,2,2,65000
404,38,3,3,65000
405,311,3,3,65000
406,368,3,2,65000
407,153,1,1,65000
408,214,2,2,65000
409,578,1,1,65000
410,570,2,2,65000
411,570,3,2,65000
414,436,3,2,65000
417,257,2,2,65000
418,214,2,2,65000
419,500,3,1,65000
420,515,3,3,65000
421,214,2,1,65000
422,270,2,2,65000
423,214,2,2,65000
424,346,1,1,65000
425,218,2,1,65000
426,214,3,2,65000
427,256,3,2,65000
428,43,3,1,66000
429,365,3,2,66000
430,540,3,3,67000
431,214,2,2,67000
432,374,2,2,67500
433,579,3,2,67500
434,214,3,2,68000
435,136,2,2,68000
436,292,2,2,69997
437,211,2,2,70000
438,137,2,1,70000
439,218,2,1,70000
440,218,3,3,70000
441,570,3,2,70000
442,124,3,2,70000
443,310,3,3,70000
444,120,3,2,70000
445,126,3,2,70000
446,571,3,2,70000
447,568,3,2,70000
448,218,3,2,70000
449,548,3,2,70000
450,186,3,2,70000
451,534,3,3,70000
452,253,2,2,70000
453,530,2,1,70000
454,527,3,2,70000
455,214,2,2,70000
456,218,2,2,70000
457,218,2,1,70000
458,307,2,2,70000
459,318,3,2,70000
460,208,3,2,70000
461,37,2,2,70000
462,327,3,2,70000
463,238,4,3,70000
464,540,2,2,70000
465,448,3,1,70000
466,593,3,2,70000
467,356,4,4,70000
468,55,2,1,70000
469,471,3,2,70000
470,492,2,2,70000
471,253,3,2,70000
472,531,3,2,70000
473,218,2,2,70000
474,247,2,2,70000
475,540,2,2,70000
476,382,3,3,70000
477,214,2,1,70000
478,214,2,2,70000
479,214,3,2,70000
480,445,3,3,70000
481,437,2,2,70000
482,435,3,2,70000
483,253,3,3,70000
484,214,2,2,70000
485,218,1,1,70000
486,308,3,2,70000
487,28,3,3,70000
488,570,2,2,70000
490,115,3,2,70000
491,253,2,1,70000
492,368,3,2,70000
493,538,3,2,70000
494,354,2,2,70000
495,102,2,2,70000
496,253,1,1,70000
497,191,3,3,70000
498,357,3,2,70000
499,208,4,4,70000
501,540,2,2,70000
502,279,4,3,70000
503,218,3,1,70000
504,218,2,1,70000
505,310,3,3,72000
506,214,2,2,72500
507,490,3,3,73000
508,437,2,2,75000
509,23,2,2,75000
510,218,3,2,75000
511,107,3,2,75000
512,218,3,3,75000
513,567,2,2,75000
514,579,2,2,75000
515,571,3,2,75000
516,50,2,2,75000
517,253,3,3,75000
518,218,3,3,75000
519,253,2,2,75000
520,272,3,3,75000
521,218,2,2,75000
522,540,3,3,75000
523,540,2,2,75000
524,5,1,1,75000
525,253,2,2,75000
526,573,4,3,75000
527,455,2,2,75000
528,447,3,2,75000
529,447,3,2,75000
530,158,3,2,75000
531,124,4,3,75000
532,353,2,2,75000
533,534,3,3,75000
534,309,1,1,75000
535,436,3,3,75000
536,218,3,2,75000
537,366,3,3,75000
538,253,3,2,75000
539,253,3,3,75000
541,218,2,2,75000
542,540,2,2,75000
543,536,3,3,75000
544,414,3,2,75000
545,597,3,2,75000
546,579,3,2,75000
547,571,2,2,75000
548,598,3,2,75000
549,580,3,3,75000
552,60,3,2,75000
553,389,2,1,75000
555,440,4,3,75000
556,101,3,3,75000
557,167,3,2,75000
559,236,2,2,75000
560,552,2,2,75000
561,445,2,2,75000
562,335,2,1,75000
563,285,2,2,75000
564,253,2,2,75000
565,311,2,2,75000
566,218,2,2,75000
567,579,3,3,75000
568,570,3,2,75000
570,571,4,4,75000
571,467,2,2,75000
572,214,3,3,75000
573,11,2,2,75000
574,218,2,1,75000
576,218,2,1,75000
577,214,2,2,75000
579,58,3,2,75000
580,448,3,3,75000
581,218,2,2,75000
583,184,3,3,75000
584,92,2,2,75000
585,377,3,2,75000
586,350,3,2,75000
587,253,2,2,75000
588,218,3,1,75000
589,540,3,3,75000
590,214,3,1,75000
591,467,1,1,75000
593,436,4,2,75000
594,229,3,3,75000
595,158,3,2,75000
596,253,3,2,75000
597,413,2,2,75000
598,383,3,2,75000
599,253,2,2,75000
600,253,3,3,76000
601,34,3,3,77000
602,395,3,3,77000
603,261,2,2,78000
604,218,2,2,78000
605,218,3,2,78000
606,214,3,2,79000
607,447,3,3,80000
608,300,2,2,80000
609,264,2,2,80000
610,436,3,2,80000
611,436,3,3,80000
612,450,3,3,80000
613,415,4,3,80000
614,218,3,2,80000
615,580,3,2,80000
616,570,3,3,80000
617,570,4,4,80000
618,571,2,2,80000
619,577,3,2,80000
620,436,3,3,80000
621,438,3,3,80000
622,326,1,1,80000
623,401,1,1,80000
624,269,3,3,80000
625,540,3,3,80000
626,540,3,2,80000
627,458,3,1,80000
628,382,2,1,80000
629,372,1,1,80000
630,390,2,2,80000
631,218,2,2,80000
632,214,1,1,80000
633,218,3,2,80000
634,192,3,3,80000
635,599,3,3,80000
636,214,3,3,80000
638,436,2,2,80000
639,214,2,2,80000
640,454,2,2,80000
641,570,2,2,80000
642,526,3,3,80000
643,194,3,2,80000
644,13,2,2,80000
645,8,3,3,80000
646,566,3,3,80000
647,284,2,2,80000
648,562,3,2,80000
649,467,2,2,80000
650,316,4,1,80000
651,328,1,1,80000
652,218,1,1,80000
653,540,2,2,80000
654,504,3,3,80000
655,472,3,3,80000
656,467,3,3,80000
657,214,2,1,80000
658,253,2,2,80000
659,106,2,2,80000
660,229,3,3,80000
661,540,3,2,80000
662,471,4,3,80000
663,253,3,2,80000
664,230,3,2,80000
665,10,2,2,80000
666,263,2,2,80000
667,567,2,2,80000
668,579,3,2,80000
672,182,2,2,80000
673,592,3,3,80000
674,571,2,2,80000
675,218,3,2,80000
676,260,3,2,80000
677,368,2,1,80000
678,218,3,2,80000
679,253,3,3,80000
680,260,2,2,80000
681,218,4,3,80000
682,436,2,2,80000
683,253,2,2,80000
684,218,2,2,80000
685,436,3,2,80000
686,218,3,3,80000
687,329,3,3,80000
688,581,3,2,83000
689,435,2,2,85000
690,253,3,2,85000
691,218,2,2,85000
692,214,1,1,85000
693,218,3,3,85000
694,218,1,1,85000
695,333,2,2,85000
696,220,3,3,85000
697,215,3,2,85000
698,540,2,1,85000
699,344,2,2,85000
700,603,2,2,85000
701,247,2,2,85000
702,218,3,2,85000
703,579,2,2,85000
704,579,3,2,85000
705,540,4,4,85000
706,218,3,3,85000
707,218,3,3,85000
708,366,2,2,85000
709,467,2,2,85000
710,260,2,2,85000
711,253,3,2,85000
712,218,3,3,85000
713,323,3,1,85000
714,105,3,3,85000
715,570,3,2,85000
716,571,3,3,85000
717,83,2,2,85000
