,title,location,bedrooms,bathrooms,price,rate
241,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
242,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
243,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
244,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
245,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
246,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
247,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
248,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
249,FlattorentinNyali,"Nyali,Mombasa",3,2,45000,PerMonth
250,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
251,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
252,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
253,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
254,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
255,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
256,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
257,FlattorentinKahawaWendani,"ThikaRdNairobi,KahawaWendani,Nairobi",4,2,57750,PerMonth
258,FlattorentinKilimani,"Kilimani,Nairobi",2,3,65000,PerMonth
259,FlattorentinWestlands,Westlands,3,3,78000,PerMonth
260,FlattorentinMuthaiga,"Muthaiga,Nairobi",4,5,300000,PerMonth
261,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
262,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
263,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
264,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
265,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
266,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
267,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
268,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
269,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
270,FlattorentinNyali,Nyali,3,2,45000,PerMonth
271,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
272,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
273,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
274,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
275,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
276,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
277,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
278,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
279,FlattorentinKahawaWendani,"ThikaRdNairobi,KahawaWendani,Nairobi",4,2,57750,PerMonth
280,FlattorentinKilimani,"Kilimani,Nairobi",2,3,65000,PerMonth
281,FlattorentinWestlands,Westlands,3,3,78000,PerMonth
282,FlattorentinMuthaiga,"Muthaiga,Nairobi",4,5,300000,PerMonth
283,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
284,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
285,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
286,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
287,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
288,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
289,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
290,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
291,FlattorentinNyali,Nyali,3,2,45000,PerMonth
292,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
293,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
294,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
295,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
296,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
297,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
298,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
299,FlattorentinKahawaWendani,"ThikaRdNairobi,KahawaWendani,Nairobi",4,2,57750,PerMonth
300,FlattorentinKilimani,"Kilimani,Nairobi",2,3,65000,PerMonth
301,FlattorentinWestlands,Westlands,3,3,78000,PerMonth
302,FlattorentinMuthaiga,"Muthaiga,Nairobi",4,5,300000,PerMonth
303,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
304,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
305,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
306,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
307,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
308,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
309,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
310,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
311,FlattorentinNyali,Nyali,3,2,45000,PerMonth
312,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
313,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
314,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
315,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
316,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
317,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
318,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
319,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
320,FlattorentinKahawaWendani,"ThikaRdNairobi,KahawaWendani,Nairobi",4,2,57750,PerMonth
321,FlattorentinKilimani,"Kilimani,Nairobi",2,3,65000,PerMonth
322,FlattorentinWestlands,Westlands,3,3,78000,PerMonth
323,FlattorentinMuthaiga,"Muthaiga,Nairobi",4,5,300000,PerMonth
324,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
325,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
326,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
327,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
328,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
329,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
330,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
331,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
332,FlattorentinNyali,Nyali,3,2,45000,PerMonth
333,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
334,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
335,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
336,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
337,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
338,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
339,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
340,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
341,FlattorentinKahawaWendani,"ThikaRdNairobi,KahawaWendani,Nairobi",4,2,57750,PerMonth
342,FlattorentinKilimani,"Kilimani,Nairobi",2,3,65000,PerMonth
343,FlattorentinWestlands,Westlands,3,3,78000,PerMonth
344,FlattorentinMuthaiga,"Muthaiga,Nairobi",4,5,300000,PerMonth
345,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
346,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
347,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
348,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
349,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
350,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
351,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
352,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
353,FlattorentinNyali,Nyali,3,2,45000,PerMonth
354,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
355,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
356,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
357,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
358,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
359,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
360,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
361,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
362,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
363,FlattorentinKahawaWendani,"ThikaRdNairobi,KahawaWendani,Nairobi",4,2,57750,PerMonth
364,FlattorentinKilimani,"Kilimani,Nairobi",2,3,65000,PerMonth
365,FlattorentinWestlands,Westlands,3,3,78000,PerMonth
366,FlattorentinMuthaiga,"Muthaiga,Nairobi",4,5,300000,PerMonth
367,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
368,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
369,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
370,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
371,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
372,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
373,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
374,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
375,FlattorentinNyali,Nyali,3,2,45000,PerMonth
376,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
377,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
378,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
379,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
380,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
381,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
382,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
383,FlattorentinKahawaWendani,"ThikaRdNairobi,KahawaWendani,Nairobi",4,2,57750,PerMonth
384,FlattorentinKilimani,"Kilimani,Nairobi",2,3,65000,PerMonth
385,FlattorentinWestlands,Westlands,3,3,78000,PerMonth
386,FlattorentinMuthaiga,"Muthaiga,Nairobi",4,5,300000,PerMonth
387,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
388,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
389,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
390,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
391,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
392,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
393,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
394,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
395,FlattorentinNyali,Nyali,3,2,45000,PerMonth
396,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
397,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
398,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
399,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
400,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
401,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
402,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
403,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
404,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
405,FlattorentinKahawaWendani,"ThikaRdNairobi,KahawaWendani,Nairobi",4,2,57750,PerMonth
406,FlattorentinKilimani,"Kilimani,Nairobi",2,3,65000,PerMonth
407,FlattorentinWestlands,Westlands,3,3,78000,PerMonth
408,FlattorentinMuthaiga,"Muthaiga,Nairobi",4,5,300000,PerMonth
409,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
410,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
411,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
412,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
413,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
414,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
415,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
416,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
417,FlattorentinNyali,Nyali,3,2,45000,PerMonth
418,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
419,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
420,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
421,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
422,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
423,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
424,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
425,FlattorentinKahawaWendani,"ThikaRdNairobi,KahawaWendani,Nairobi",4,2,57750,PerMonth
426,FlattorentinKilimani,"Kilimani,Nairobi",2,3,65000,PerMonth
427,FlattorentinWestlands,Westlands,3,3,78000,PerMonth
428,FlattorentinMuthaiga,"Muthaiga,Nairobi",4,5,300000,PerMonth
429,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
430,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
431,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
432,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
433,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
434,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
435,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
436,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
437,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
438,FlattorentinNyali,Nyali,3,2,45000,PerMonth
439,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
440,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
441,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
442,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
443,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
444,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
445,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
446,FlattorentinKahawaWendani,"ThikaRdNairobi,KahawaWendani,Nairobi",4,2,57750,PerMonth
447,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
448,FlattorentinKilimani,"Kilimani,Nairobi",2,3,65000,PerMonth
449,FlattorentinWestlands,Westlands,3,3,78000,PerMonth
450,FlattorentinMuthaiga,"Muthaiga,Nairobi",4,5,300000,PerMonth
451,FlattorentinNyali,"Nyali,Mombasa",1,1,5000,PerDay
452,FlattorentinWestlands,"Westlands,Nairobi",4,2,165000,PerMonth
453,FlattorentinKikuyu,"KikuyuTownBusparkKikuyu,Kikuyu,Kikuyu",3,3,55000,PerMonth
454,FlattorentinShanzu,"Shanzu,Mombasa",1,1,55000,PerMonth
455,FlattorentinWestlands,"Westlandsdowntown,Westlands,Nairobi",2,2,75000,PerMonth
456,FlattorentinHurlingham,Hurlingham,2,2,75000,PerMonth
457,FlattorentinKileleshwa,"KileleshwaNairobi,Kileleshwa,Nairobi",2,2,55000,PerMonth
458,FlattorentinKilimani,"Kilimani,Nairobi",3,3,75000,PerMonth
459,FlattorentinNyali,Nyali,3,2,45000,PerMonth
460,FlattorentinSpringValley,"GrevilleaGroveSpringValley,SpringValley,Nairobi",2,3,65000,PerMonth
461,FlattorentinWestlands,"Westlands,Nairobi",2,2,100000,PerMonth
462,FlattorentinRiverside,"RiversideDrNairobi,Riverside,Nairobi",3,3,200000,PerMonth
463,FlattorentinKileleshwa,"Kileleshwa,Nairobi",3,4,70000,PerMonth
464,FlattorentinNyali,"LinksRdMombasa,Nyali,Mombasa",3,2,38000,PerMonth
465,FlattorentinLavington,"NearValleyArcade,Lavington,Nairobi",3,3,80000,PerMonth
466,FlattorentinKileleshwa,"Kileleshwa,Nairobi",1,1,110000,PerMonth
467,FlattorentinKahawaWendani,"ThikaRdNairobi,KahawaWendani,Nairobi",4,2,57750,PerMonth
468,FlattorentinKilimani,"Kilimani,Nairobi",2,3,65000,PerMonth
469,FlattorentinWestlands,Westlands,3,3,78000,PerMonth
470,FlattorentinMuthaiga,"Muthaiga,Nairobi",4,5,300000,PerMonth
